source	target
Блін, знову затори!	Блин, опять пробки!
Вона сидить на валізах, ніяк не заспокоїться.	Она сидит на чемоданах, никак не успокоится.
Я так злий, що міг би порвати цю пропозицію на шматки.	Я так зол, что мог бы разорвать это предложение на куски.
Побачимось біля пам'ятника Шевченку о 19:00, ок?	Увидимся у памятника Шевченко в 19:00, ок?
Замовив шаурму на Лисенка, але чувак забув гострий соус — капець.	Заказал шаурму на Лысенко, но чувак забыл острый соус — капец.
Та ну нафіг.	Да ну нафиг.
Ти бачив той мем про Зеленського вчора? Це ж капець!	Ты видел тот мем про Зеленского вчера? Это же капец!
Я так відтягнувся на тій вечірці — усе було просто бомбезно, але під ранок я був повністю на дні.	Я так оттянулся на той вечеринке — всё было просто бомбезно, но к утру я был полностью на дне.
Не кажи гоп, поки не переплигнеш річку.	Не говори 'гоп', пока не перепрыгнешь через реку.
Закинь мені, будь ласка, посилку на Нову Пошту, трек-номер UA-2026-XY. Не запізнюйся!	Закинь мне, пожалуйста, посылку на Новую Почту, трек-номер UA-2026-XY. Не опаздывай!
Та ти що?	Да ты что?
Я так задовбаний тим ремонтом, що готовий усе кинути і втекти на пляж.	Я так задолбался этим ремонтом, что готов всё бросить и уехать на пляж.
Він завжди кидає слова на вітер, але на ділі нічого не робить.	Он всегда бросает слова на ветер, а на деле ничего не делает.
Привезли борщ від бабці з села — смакота несусвітня.	Привезли борщ от бабушки из села — вкуснятина невообразимая.
Куди, блядь, поділася моя кобіта? Я її не бачив цілий день.	Куда, блядь, делась моя женщина? Я её целый день не видел.
Та ну його.	Да ну его.
Куди, чорт забирай, поділась моя куртка?	Куда, чёрт возьми, делась моя куртка?
Він працює як віл, але грошей кот наплакав.	Он работает как вол, а денег кот наплакал.
Замовив на «Нова пошта» доставку до відділення на Бессарабці, і там такий пекло з чергами, що я втратив півдня.	Заказал доставку через «Новая Почта» в отделение на Бессарабке, и там такой ад с очередями, что я потерял полдня.
Слухай, підкинь 200 грн, завтра поверну, серйозно, без жартів.	Слушай, подкинь 200 грн, завтра верну, серьёзно, без шуток.
Йолки-палки!	Ёлки-палки!
Куди пішов той чувак із нашого чату? Він пропав, бля.	Куда делся тот чувак из нашего чата? Он пропал, бля.
Я вже третій день їду на роботу як у тумані: ні сил, ні мотивації, а шеф постійно кричить.	Я уже третий день еду на работу как во тумане: ни сил, ни мотивации, а шеф всё время орёт.
Завтра йдемо на концерт The Hardkiss біля Олімпійського, бери квитки і не підведи.	Завтра идём на концерт The Hardkiss у Олимпийского, бери билеты и не подведи.
Та це повна хуйня, не візьму навіть заради грошей.	Да это полная хуйня, даже за деньги не возьму.
Та ти що, серйозно?	Да ты что, серьёзно?
Це повний пиздець — як вони могли так все напортачити?	Это полный пиздец — как они могли так всё напортачить?
Зустрінемось біля входу в метро «Золоті ворота», неподалік кав'ярні з червоною вивіскою, о 19:30.	Встретимся у входа в метро «Золотые ворота», рядом с кофейней с красной вывеской, в 19:30.
Не моя хата — нічого не знаю, хай сам розбирається.	Моя хата с краю — ничего не знаю, пускай сам разбирается.
Ти чув, що на Даринку привезли нові кросівки від Nike? Може, сходимо подивимось?	Ты слышал, что на Дарынке привезли новые кроссовки от Nike? Может, сходим посмотрим?
Та ну нахуй.	Да ну нахуй.
Де ти, бля, зник вчора після роботи? Ми тебе шукали.	Где ты, бля, пропал вчера после работы? Мы тебя искали.
Вона в цьому з'їла собаку, тому не варто її вчити.	Она в этом собаку съела, так что не стоит её учить.
Завтра їду на Нову Пошту за посилкою від бабусі — вона наварила борщу на тиждень і скинула мені рецепт.	Завтра еду на Нову Пошту за посылкой от бабушки — она наварила борща на неделю и прислала мне рецепт.
У маршрутці сьогодні така тиснява була, ніби ми сарделі в банці — вийшов мокрий, як кіт.	В маршрутке сегодня была такая давка, будто мы сардели в банке — вышел мокрый как кот.
Та ну нафіг.	Да ну нафиг.
Де ти, бля, зник вчора ввечері?	Где ты, блин, вчера вечером пропал?
Він відбувся легким переляком і вже знову наче нічого не трапилось.	Он отделался лёгким испугом и снова как будто ничего не случилось.
Я вже так задовбаний цією роботою, що вночі мало не плачу і мрію просто кинути все й поїхати в гори.	Я уже так задолбан этой работой, что по ночам чуть не плачу и мечтаю просто всё бросить и уехать в горы.
Замовив квитки на "Океан Ельзи" через Приват24 — тепер чекаю підтвердження, бо боюся, що знову буде якась херня з оплатою.	Заказал билеты на «Океан Ельзи» через Приват24 — теперь жду подтверждения, потому что боюсь, что снова будет какая-то хрень с оплатой.
Йо, брате!	Йо, братан!
Куди пропав мій телефон? Я точно залишив його тут вчора.	Куда пропал мой телефон? Я же точно оставил его здесь вчера.
Завтра йдемо на футбол на Олімпійський, підеш?	Завтра идём на футбол на Олимпийский, пойдёшь?
Я так втомився від цієї безглуздої бюрократії й постійних перевірок, що готовий кинути роботу і назавжди валити за кордон.	Я так устал от этой бессмысленной бюрократии и постоянных проверок, что готов бросить работу и навсегда свалить за границу.
Та що ти базариш? Я все бачу, не намагайся мене дурити.	Да что ты базаришь? Я всё вижу, не пытайся меня разводить.
Блін, знову затримують поїзд!	Блин, опять задерживают поезд!
Він всю справу облажав, тепер будемо латати діри.	Он всё дело облажал, теперь будем латать дыры.
Куди ти подів мої ключі? Я всю хату перевернув!	Куда ты дел мои ключи? Я весь дом перевернул!
Завтра їду на 'Олімпійський' дивитися концерт Джамали.	Завтра еду на "Олимпийский" смотреть концерт Джамалы.
Чесно кажучи, я вже по горло втомився від цієї рутини: постійна робота, борги й нескінченні дзвінки від колекторів.	Честно говоря, я уже по горло устал от этой рутины: постоянная работа, долги и нескончаемые звонки от коллекторов.
Блін, знову дощ.	Блин, опять дождь.
Він роздмухав з мухи слона, тепер ніхто не може заспокоїтися.	Он раздул из мухи слона, теперь никто не может успокоиться.
Куди ти пропав вчора ввечері? Ми ж домовлялися зустрітися біля метро "Шулявська".	Куда ты пропал вчера вечером? Мы же договаривались встретиться у метро «Шулявская».
Я більше не можу терпіти цей безлад у квартирі — пакуйте свої речі і йдіть, поки я не вибухну.	Я больше не могу терпеть этот беспорядок в квартире — собирайте свои вещи и уходите, пока я не взорвусь.
Олю, заходь — бабця напекла вареників, поки гарячі, краще не буде.	Оля, заходи — бабка напекла вареников, пока горячие, лучше не будет.
Та ну, іди геть!	Да ну, отвали!
Я вже повністю задовбався від цієї клятої роботи — не витримую сидіти в офісі з дев'ятої до дев'ятої.	Меня уже полностью достала эта чёртова работа — не выношу сидеть в офисе с девяти до девяти.
Він звалив, як тільки запахло жареним.	Он свалил, как только запахло жареным.
Замовив на Новій Пошті телефон, але кур'єр загубив посилку — і тепер вони ще й відмазуються.	Заказал на Новой Почте телефон, но курьер потерял посылку — и теперь они ещё и отмазываются.
Ти шо, з глузду з'їхав, чи як?	Ты что, с ума сошёл, или как?
Та ну її, на хрін.	Да ну её, на хрен.
Куди ти, бля, зник вчора ввечері? Я переживав.	Куда ты, бля, пропал вчера вечером? Я переживал.
Я замовив квитки на Укрзалізницю, а вони їх загубили і кажуть, що це не їхня проблема.	Я заказал билеты на Укрзалізницю, а они их потеряли и говорят, что это не их проблема.
Він з головою в хмарах і ніяк не може зосередитися на роботі — постійно мріє про подорожі.	Он с головой в облаках и никак не может сосредоточиться на работе — постоянно мечтает о путешествиях.
Збираюсь на базар в Одесі за свіжим оселедцем і рум'яними пампушками.	Собираюсь на рынок в Одессе за свежей сельдью и румяными пампушками.
Та ну, кидай.	Да ну, брось.
Куди ти, бля, пропав учора на тусі?	Куда ты, блин, вчера на тусе пропал?
Вона весь час як на голках — не відчепиться.	Она всё время как на иголках — не отстанет.
Замовив через Приват24 квитки на поїзд, а мені прийшло СМС про оплату двічі — факап.	Заказал билеты на поезд через Приват24, а мне пришло СМС об оплате дважды — факап.
Мені пофіг.	Мне пофиг.
Блін, знову трафік, запізнюся на роботу.	Блин, снова пробки, опоздаю на работу.
Він кинув мене як гарячу картоплю, навіть не подзвонив наступного дня.	Он бросил меня как горячую картошку, даже на следующий день не позвонил.
Ти де був учора вночі, чувак? Пояснюй або мовчи.	Ты где был вчера ночью, чувак? Объясняй или молчи.
Це повний пиздець — стільки роботи і ніякого виходу, я в паніці.	Это полный пиздец — столько работы и никакого выхода, я в панике.
Після футболу йдемо на шаурму біля станції, того самого київського ларька, пам'ятаєш?	После футбола идём за шаурмой к тому киевскому ларьку возле станции, помнишь?
Та ну, йди ти!	Да ну, иди ты!
Куди подівся той чувак з району вчора ввечері?	Куда делся тот чувак из района вчера вечером?
Я вже просто на межі, ця робота мене доб'є — бос ніяк не може визначитись.	Я уже просто на пределе, эта работа меня добьёт — начальник никак не может определиться.
Замовив піцу й трансляцію матчу — субота пройде за пивом і «Шахтарем».	Заказал пиццу и трансляцию матча — суббота пройдет за пивом и «Шахтёром».
Не парся щодо того податку, все буде норм — просто заповни форму й віднеси в бухгалтерію.	Не парься насчёт того налога, всё будет нормально — просто заполни форму и отнеси в бухгалтерию.
Та ну, це капець.	Да ну, это капец.
Куди ти поперся о третій ночі? Серйозно?	Куда ты поперся в три ночи? Серьёзно?
Він працює як бджола, а грошей як кіт наплакав.	Он работает как пчела, а денег кот наплакал.
Замовив піцу і бургер з доставкою, але кур'єр загубився біля Дарниці і тримав мене на лінії 40 хвилин.	Заказал пиццу и бургер с доставкой, но курьер заблудился возле Дарницы и держал меня на линии 40 минут.
Блін, цей трамвай знову поламався, знову ж маємо йти пішки!	Блин, этот трамвай снова сломался, снова придётся идти пешком!
Та ну, блін.	Да ну, блин.
Куди ти пропав, козаче, вчора ввечері?	Куда ты пропал, козак, вчера вечером?
Цей проєкт тоне — я з нього валю.	Этот проект тонет — я с него сваливаю.
Я так розлютився через ту халепу, що міг би й стіну рознести.	Я так разозлился из-за этой передряги, что мог бы стену разнести.
Маршрутка застрягла в корку, їхали як сардини.	Маршрутка застряла в пробке, ехали как сардины.
Та ну	Да ладно
Я вже так задовбався від цього ремонту.	Я уже так задолбался от этого ремонта.
Куди поділася моя термокружка? Хтось бачив?	Куда делась моя термокружка? Кто-нибудь видел?
Після шашлику на дачі тато казав, що ми як риби у воді — йому було кайфово.	После шашлыка на даче папа говорил, что мы как рыбы в воде — ему было кайфово.
Замовив нові кросівки на Rozetka, але продавець, схоже, загубив посилку; служба підтримки каже чекати ще два тижні.	Заказал новые кроссовки на Rozetka, но продавец, похоже, потерял посылку; служба поддержки говорит ждать ещё две недели.
Потрібно доробити звіт до кінця дня, інакше начальник розлютиться.	Нужно доделать отчёт к концу дня, иначе начальник разозлится.
Ключі вдома я забув, тепер не можу увійти.	Я забыл ключи дома, теперь не могу войти.
До вокзалу їде маршрутка через п'ять хвилин?	До вокзала едет маршрутка через пять минут?
Ціна на ці кросівки дуже висока, давай пошукаємо знижки.	Цена на эти кроссовки очень высокая, давай поищем скидки.
Збираюся піти на пробіжку, хочу спробувати новий маршрут.	Я собираюсь пойти на пробежку, хочу попробовать новый маршрут.
Потрібно до кінця дня закрити цю задачку, інакше начальник знову запитає про статус.	Нужно до конца дня закрыть эту задачу, иначе начальник снова спросит про статус.
Чому ти так повільно працюєш — я чекаю результат з самого ранку.	Почему ты так медленно работаешь — я жду результат с самого утра.
Ця нова програма на роботі — повна фігня, постійно вилітає з помилками.	Это новое программное обеспечение на работе — полная фигня, постоянно вылетает с ошибками.
Замовив квитки на потяг онлайн, але система зависла, так що доведеться купувати у касі.	Заказал билеты на поезд онлайн, но система зависла, так что придётся покупать у кассы.
Ходжу в зал три рази на тиждень, але сьогодні відчуваю себе втомленим, мов після марафону.	Хожу в зал три раза в неделю, но сегодня чувствую себя усталым, как после марафона.
У нас сьогодні дедлайн, я доводив код до пізнього вечора.	У нас сегодня дедлайн, я доводил код до позднего вечера.
Я забув купити хліб, та й живемо на сухарях — такий день.	Я забыл купить хлеб, да и живём на сухарях — такой день.
Коли сідаєш у маршрутку, місто виглядає зовсім по-іншому.	Когда садишься в маршрутку, город выглядит совсем по-другому.
Сьогодні на тренуванні я трішки вибився з темпу, але кайф від гри був.	Сегодня на тренировке я немного выбился из темпа, но кайф от игры был.
Цей додаток валиться з ніг — лагає, не відкривається, реклама лізе.	Это приложение валится с ног — лагает, не открывается, реклама лезет.
Гей, як ти поживаєш?	Эй, как ты поживаешь?
На роботі повний завал, а клієнти чіпляються до кожної дрібниці.	На работе полный завал, а клиенты придираются к каждой мелочи.
Замовив товар через сайт і чекаю, коли його доставлять.	Заказал товар через сайт и жду, когда его доставят.
Хочеш піти на пробіжку?	Хочешь пойти на пробежку?
Не можу дочекатися вихідних, бо зараз усе дратує.	Не могу дождаться выходных, потому что сейчас всё бесит.
Слухай, чому ти кинув проект без пояснень?	Слушай, почему ты бросил проект без объяснений?
Ти забув взяти міцний чай? Я змерзла.	Ты забыл взять крепкий чай? Я замёрзла.
Чи бачила ти, де залишився мій паспорт у аеропорту?	Ты видела, где остался мой паспорт в аэропорту?
Я нарешті виклав фото зі скейтом у соцмережі, глянь.	Я наконец выложил фото со скейтом в соцсетях, глянь.
Поглянь, чи правильно я виставив параметри в настройках.	Посмотри, правильно ли я выставил параметры в настройках.
Професор розсміявся, коли почув мою доповідь, але попросив переписати вступ.	Профессор рассмеялся, услышав мой доклад, но попросил переписать вступление.
Я заблукав біля вокзалу і питаю дорогу у місцевих.	Я заблудился возле вокзала и спрашиваю дорогу у местных.
Купив пальто онлайн і виявилось, що колір не той, що на фото.	Купил пальто онлайн и оказалось, что цвет не тот, что на фото.
Хочу скинути зайві кілограми, але зараз ледве піднімаюся з ліжка.	Хочу сбросить лишние килограммы, но сейчас едва встаю с кровати.
У мене злетіла вай-фай, так що не можу подивитися стрім.	У меня вай-фай слетел, поэтому не могу посмотреть стрим.
Чи бачив ти новий звіт? Я там забув підписати останній розділ.	Ты видел новый отчет? Я там забыл подписать последний раздел.
Хто вчора забронював квитки на потяг? Мені треба знати, чи шукати місця біля вікна.	Кто вчера забронировал билеты на поезд? Мне нужно узнать, стоит ли искать места у окна.
Моя подруга розсердилася, бо я забув подарунок на її день народження.	Моя подруга рассердилась, потому что я забыл подарок на её день рождения.
Замовив товар через інтернет — чекаю кур'єра, а доставка затягується.	Заказал товар через интернет — жду курьера, а доставка затягивается.
Я випадково загубив ключі від машини, тож довелося викликати евакуатор.	Я случайно потерял ключи от машины, поэтому пришлось вызвать эвакуатор.
Завтра важлива нарада, але я ще не готовий виступати.	Завтра важная встреча, но я ещё не готов выступать.
Ключі загубив десь у під'їзді, а квартира нагадує корабель після шторму.	Ключи потерял где-то в подъезде, а квартира напоминает корабль после шторма.
Я зібрався у подорож і забув зарядку для телефону.	Я собрался в путешествие и забыл зарядку для телефона.
Сьогодні в магазині знайшов дуже крутий светр, але ціна зашкалює.	Сегодня в магазине нашёл очень крутой свитер, но цена зашкаливает.
Я згадав, що забув взяти каву зранку — тепер без ранкової порції енергії.	Я вспомнил, что забыл взять кофе с утра — теперь без утренней порции энергии.
На роботі знову зламався принтер, ніхто не може зрозуміти, де проблема.	На работе снова сломался принтер, никто не может понять, в чём проблема.
Чи ти бачив маршрутку до центру? Вона з'являється кожні п'ять хвилин, а потім зникає.	Ты видел маршрутку до центра? Она появляется каждые пять минут, а потом исчезает.
Замовив нову куртку онлайн, але розмір не підійшов і тепер треба повертати.	Заказал новую куртку онлайн, но размер не подошёл, и теперь нужно вернуть.
Ми посварились із хлопцем і тепер думаємо, як усе владнати.	Мы поссорились с парнем, и теперь думаем, как всё уладить.
Готую борщ за новим рецептом, додаю лимонну цедру — виходить цікаво.	Готовлю борщ по новому рецепту, добавляю лимонную цедру — получается интересно.
На вокзалі зірвався потяг — довелося чекати дві години.	На вокзале сорвался поезд — пришлось ждать два часа.
Сьогодні зустріч у відділі продажів — потрібна швидка реакція.	Сегодня встреча в отделе продаж — нужна быстрая реакция.
Дівчина свариться через моїх котів.	Девушка ругается из-за моих котов.
Телефон ловить Wi‑Fi тільки на кухні, інакше інтернет мовчить.	Телефон ловит Wi‑Fi только на кухне, иначе интернет молчит.
Замовив піцу на вечір — кур'єр зателефонував уточнити деталі.	Заказал пиццу на вечер — курьер позвонил уточнить детали.
Хочу кави.	Хочу кофе.
Я забув пароль від VPN.	Я забыл пароль от VPN.
Порадь меню з домашніми стравами, будь ласка.	Посоветуй меню с домашними блюдами, пожалуйста.
У нас з чоловіком завжди сварки через гроші.	У нас с мужем всегда ссоры из-за денег.
Їдемо в подорож на вихідні до Львова.	Едем в поездку на выходные во Львов.
Я втомився після довгого дня на роботі.	Я вымотался после долгого дня на работе.
Дорога закрита, нам доведеться повертатися іншим шляхом.	Дорога перекрыта, придётся возвращаться другим путём.
Хочеш перекусити щось, чи залишимося голодними?	Хочешь перекусить что-нибудь, или останемся голодными?
Замовив товар на Wildberries через акаунт user_987.	Заказал товар на Wildberries через аккаунт user_987.
Я перепрошив телефон — тепер Wi‑Fi не ловить.	Я перепрошил телефон — теперь Wi‑Fi не ловит.
На роботi знову дедлайни під завал — начальник вимагає швидше, а команда валиться з ніг.	На работе снова дедлайны навалились — начальник требует быстрее, а команда валится с ног.
У автобусi забув вийти на останній зупинці — тепер доводиться повертатися назад.	В автобусе забыл выйти на последней остановке — теперь приходится возвращаться обратно.
Вчора розбив телефон — екран тріснув, але я ще не здамся.	Вчера разбил телефон — экран треснул, но я ещё не сдамся.
Замовив щось онлайн через мобільний додаток — терміни доставки тягнуться дедалі довше.	Заказал что-то онлайн через мобильное приложение — сроки доставки тянутся всё дольше.
У кав’ярні переплутав сир з сметаною — вийшло несмачно, але їсти можна.	В кофейне перепутал сыр с сметаной — вышло невкусно, но есть можно.
Я нарешті закрив проект на роботі, але начальник знову просить більше деталей.	Я наконец-то закрыл проект на работе, но начальник снова просит больше деталей.
Хлопці, як дістатися до вокзалу з центру? Можемо піти пішки чи автобусом?	Парни, как добраться до вокзала из центра? Можно пойти пешком или на автобусе?
Замовив товар на маркетплейсі, але доставка затримується вже тиждень.	Заказал товар на маркетплейсе, но доставка задерживается уже неделю.
Встановив новий додаток для тренувань — тепер відстежую кроки щодня.	Установил новое приложение для тренировок — теперь отслеживаю шаги ежедневно.
Зустрічаємось з другом у кав'ярні, але світло в кав'ярні занадто яскраве.	Встречаемся с другом в кофейне, но свет в кофейне слишком яркий.
На складі знову хтось переплутав штрихкоди.	На складе снова кто-то перепутал штрихкоды.
Чесно кажучи, цей сервіс доставки розчаровує: постійно запізнюється і ціни кусаються.	Честно говоря, этот сервис доставки разочаровывает: постоянно опаздывает и цены кусаются.
Я нарешті закінчив збірку моделі літака, тепер треба зробити фото на згадку.	Я наконец-то закончил сборку модели самолёта, теперь надо сделать фото на память.
Спробував новий рецепт борщу — смак якось не той.	Попробовал новый рецепт борща — вкус как-то не тот.
Онлайн-гра зависла, інтернет повільний.	Онлайн-игра зависла, интернет медленный.
На роботі сьогодні справжній хаос, але я впораюся з цим.	На работе сегодня настоящий хаос, но я справлюсь с этим.
Завтра виїжджаю з міста на вихідні, збираю валізу.	Завтра выезжаю из города на выходные, собираю чемодан.
У магазині знайшов акцію: класний светр за знижкою.	В магазине нашёл акцию: классный свитер по скидке.
Після пробіжки дихати важко, але настрій від цього тільки класний.	После пробежки дышать трудно, но настроение от этого только классное.
Потрібно розібратися з чатами: хтось не відповідає уже цілий день.	Нужно разобраться с чатами: кто-то не отвечает уже целый день.
Завтра дедлайн, а я толком не готовий до презентації.	Завтра дедлайн, а я толком не готов к презентации.
Хочеться просто прилягти і поспати, але діти кричать по всьому дому.	Хочется просто прилечь и поспать, но дети кричат по всему дому.
Їхав потягом три години вночі, і все одно запізнився на зустріч.	Ехал в поезде три часа ночью, и всё равно опоздал на встречу.
Замовив ноутбук онлайн — прийшла коробка, але без зарядки.	Заказал ноутбук онлайн — пришла коробка, но без зарядки.
Я зірвався з тренування, бо знову болить коліно.	Я сорвался с тренировки, потому что снова болит колено.
Слухай, ти бачив той кліп? він просто шедевр!	Слушай, ты видел тот клип? Он просто шедевр!
Я вчора забув ключі вдома, тепер не можу вийти на вулицю.	Я вчера забыл ключи дома, теперь не могу выйти на улицу.
Не можу повірити, як швидко пройшла зима — ну прямо жесть!	Не могу поверить, как быстро прошла зима — ну прямо жесть!
За цей тиждень планую зробити вдома ремонт і знайти мотивацію.	За эту неделю планирую сделать ремонт дома и найти мотивацию.
Я купив квитки на поїзд онлайн, але сайт завис.	Я купил билеты на поезд онлайн, но сайт завис.
Сьогодні на нараді було настільки нудно, що хотілося заснути.	Сегодня на совещании было настолько скучно, что хотелось уснуть.
Я випадково купив два квитки на один рейс, тепер доведеться щось придумати.	Я случайно купил два билета на один рейс, теперь придётся что-то придумать.
У холодильнику майже порожньо — чи варто борщ зварити, чи краще щось швидке?	В холодильнике почти пусто — стоит ли сварить борщ, или лучше что‑то быстрое?
Завтра важливий матч, так що потрібно більше тренуватися, але зараз відчуваю втому.	Завтра важный матч, так что нужно больше тренироваться, но сейчас чувствую усталость.
Я нарешті зважився зробити резервну копію фото з телефону, але забув пароль.	Я наконец решился сделать резервную копию фото с телефона, но забыл пароль.
Хлопці, у нас суцільна халепа на роботі.	Парни, у нас сплошная халепа на работе.
Купив навушники на барахолці, але продавець каже, що вони фейкові.	Купил наушники на барахолке, но продавец говорит, что они поддельные.
Сьогодні на тренування піду на бігову доріжку, намагаюсь побити свій рекорд.	Сегодня на тренировку пойду на беговую дорожку, постараюсь побить свой рекорд.
Додаток якось зависає, хочу обновити його до останньої версії.	Приложение как‑то зависает, хочу обновить его до последней версии.
Мені здається, між нами з'являється дистанція.	Мне кажется, между нами появляется дистанция.
Погода просто кайфова сьогодні, вирішив піти кататись на велосипеді.	Погода просто кайфовая сегодня, решил покататься на велосипеде.
Мій бос знову тягне з рішенням, треба його підштовхнути.	Мой босс снова тянет с принятием решения, надо его подтолкнуть.
Замовив новий смартфон онлайн, чекаю доставку.	Заказал новый смартфон онлайн, жду доставку.
Кладу валізу на відпустку, не можу зупинитися.	Собираю чемодан на отпуск, не могу остановиться.
Я з'їв цілу піцу сам, це безумство.	Я съел целую пиццу сам, это безумие.
Потрібно закінчити цей звіт до кінця дня.	Нужно закончить этот отчёт до конца дня.
Купив диван для вітальні, але він виявився занадто довгим.	Купил диван для гостиной, но он оказался слишком длинным.
Завтра рано на триатлон? У мене вже тремтять ноги.	Завтра рано на триатлон? У меня уже дрожат ноги.
Через технічний збій сайт не працює, клієнти нервують.	Из-за технического сбоя сайт не работает, клиенты нервничают.
Я кайфую від готування борщу з буряком та капустою.	Я кайфую от готовки борща с буряком и капустой.
Сьогодні на роботі повний хаос: дедлайни горять, а кофемашина зламалася.	Сегодня на работе полный хаос: дедлайны горят, а кофемашина сломалась.
Після тренування вдома хочу просто сісти і з'їсти щось солодке.	После тренировки дома хочу просто сесть и съесть что-нибудь сладкое.
Чи бачив ти той мем із котиком, що сміється над понеділком?	Ты видел тот мем с котиком, который смеётся над понедельником?
Я зробив онлайн-замовлення, але платіж завис на останньому кроці.	Я сделал онлайн-заказ, но платеж завис на последнем шаге.
Вчора ми з друзями відкрили нову кав’ярню неподалік, там офігенні десерти.	Вчера мы с друзьями открыли новую кофейню неподалёку, там офигенные десерты.
Сьогодні на роботі так багато завдань, що голова кругом.	Сегодня на работе так много задач, что голова идёт кругом.
Я заблукав, де вокзал? Мені потрібен квиток на поїзд.	Я заблудился, где вокзал? Мне нужен билет на поезд.
Купив новий телефон, але він без SIM-карти.	Купил новый телефон, но он без SIM-карты.
Чи бачив ти ту серію? Вона просто бомба!	Ты видел ту серию? Она просто огонь!
